Province,Destination,Occupation,Skill_Level,Sex,Age_Group,Mode_of_Approval,Risk_Score,Risk_Category,Injury_Probability,Illness_Probability,Injury_Occurred,Illness_Occurred,Years_Experience,Monthly_Salary_USD,Contract_Duration_Months
Madhesh,Oman,Healthcare,Skilled,Male,18-24,Recruitment Agency,3,Low,0.036,0.065,0,0,6,1472,24
Lumbini,UK,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.117,0.169,0,0,6,514,24
Province 1,Kuwait,Manufacturing,Unskilled,Male,25-34,Individual,7,High,0.231,0.286,0,1,7,1453,24
Bagmati,Saudi Arabia,Domestic Work,Skilled,Male,35-44,Recruitment Agency,5,Medium,0.145,0.19,0,1,9,1227,12
Province 1,South Korea,Manufacturing,Skilled,Male,18-24,Recruitment Agency,1,Low,0.019,0.056,0,0,7,996,24
Bagmati,Kuwait,Hospitality,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.137,0.152,0,0,7,1241,36
Karnali,Japan,Healthcare,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.06,0.162,0,0,6,468,24
Madhesh,Qatar,Domestic Work,Skilled,Male,35-44,Recruitment Agency,9,High,0.214,0.224,1,0,9,700,12
Bagmati,Qatar,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,10,High,0.27,0.251,1,0,9,1228,36
Karnali,Qatar,Manufacturing,Unskilled,Male,45+,Recruitment Agency,9,High,0.229,0.284,1,0,1,891,24
Bagmati,UK,Driving,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.023,0.037,0,0,9,736,12
Bagmati,Malaysia,Driving,Unskilled,Male,18-24,Recruitment Agency,4,Medium,0.07,0.174,0,0,8,1290,12
Province 1,Japan,Hospitality,Unskilled,Male,25-34,Individual,2,Low,0.033,0.064,0,0,9,807,12
Gandaki,Oman,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,7,High,0.208,0.326,0,1,5,976,24
Madhesh,UK,Hospitality,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.143,0.164,0,1,5,738,12
Karnali,Oman,Domestic Work,Skilled,Female,35-44,Recruitment Agency,8,High,0.251,0.226,0,1,3,859,24
Gandaki,Malaysia,Hospitality,Unskilled,Male,25-34,Regularisation,4,Medium,0.075,0.149,1,1,1,1267,24
Province 1,UAE,Driving,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.083,0.172,0,0,1,1305,12
Karnali,UAE,Cleaning,Unskilled,Male,18-24,Recruitment Agency,9,High,0.15,0.296,1,0,8,679,12
Lumbini,UAE,Manufacturing,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.143,0.148,0,0,5,399,24
Province 1,UAE,Driving,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.065,0.18,0,1,5,1053,36
Madhesh,UAE,Hospitality,Unskilled,Male,25-34,Recruitment Agency,7,High,0.233,0.226,0,0,3,1074,24
Sudurpashchim,UAE,Domestic Work,Skilled,Male,35-44,Recruitment Agency,8,High,0.241,0.225,1,0,7,634,12
Madhesh,Malaysia,Manufacturing,Unskilled,Female,18-24,Recruitment Agency,10,High,0.275,0.232,1,0,2,1015,36
Bagmati,Japan,Hospitality,Skilled,Male,35-44,Recruitment Agency,0,Low,0.037,0.047,0,0,1,922,24
Sudurpashchim,Japan,Cleaning,Semi-skilled,Male,18-24,Recruitment Agency,4,Medium,0.088,0.144,0,1,9,675,24
Madhesh,Bahrain,Healthcare,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.079,0.167,1,0,7,534,24
Karnali,Oman,Driving,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.103,0.181,0,0,9,743,12
Lumbini,Kuwait,Domestic Work,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.101,0.155,0,0,3,1206,12
Province 1,Qatar,Construction,Skilled,Male,18-24,Recruitment Agency,8,High,0.213,0.214,0,0,8,1102,24
Sudurpashchim,Oman,Manufacturing,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.077,0.198,1,0,7,530,36
Madhesh,Japan,Construction,Unskilled,Female,35-44,Recruitment Agency,10,High,0.181,0.327,0,1,8,762,12
Madhesh,Kuwait,Construction,Unskilled,Male,35-44,Recruitment Agency,10,High,0.181,0.206,0,0,5,967,24
Bagmati,Saudi Arabia,Healthcare,Unskilled,Male,35-44,Recruitment Agency,7,High,0.299,0.24,0,0,1,636,36
Karnali,Japan,Healthcare,Skilled,Male,45+,Recruitment Agency,3,Low,0.042,0.055,0,1,6,1160,36
Madhesh,Bahrain,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.26,0.32,1,0,8,481,12
Lumbini,UAE,Construction,Unskilled,Male,25-34,Individual,10,High,0.26,0.238,0,0,7,948,36
Lumbini,Oman,Driving,Skilled,Male,45+,Recruitment Agency,1,Low,0.018,0.029,0,0,2,541,36
Province 1,Oman,Driving,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.035,0.044,0,0,1,1126,12
Gandaki,UAE,Cleaning,Unskilled,Male,25-34,Recruitment Agency,7,High,0.292,0.309,0,0,2,1295,12
Karnali,Kuwait,Manufacturing,Skilled,Male,25-34,Recruitment Agency,7,High,0.296,0.217,0,1,1,695,12
Sudurpashchim,Bahrain,Construction,Unskilled,Male,35-44,Recruitment Agency,9,High,0.154,0.233,1,0,9,1335,24
Gandaki,Malaysia,Hospitality,Skilled,Male,35-44,Individual,2,Low,0.047,0.032,0,0,2,826,12
Madhesh,Bahrain,Hospitality,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.057,0.2,0,0,2,1014,36
Lumbini,UK,Healthcare,Skilled,Male,25-34,Recruitment Agency,1,Low,0.046,0.048,0,0,7,1476,24
Province 1,Saudi Arabia,Driving,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.082,0.148,1,0,1,904,12
Madhesh,Kuwait,Construction,Unskilled,Male,35-44,Recruitment Agency,10,High,0.251,0.228,0,0,7,767,12
Gandaki,Qatar,Cleaning,Skilled,Male,35-44,Recruitment Agency,2,Low,0.025,0.054,0,0,2,857,12
Lumbini,Qatar,Cleaning,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.08,0.138,0,1,1,1107,12
Province 1,Bahrain,Hospitality,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.015,0.028,0,0,9,1048,12
Province 1,Oman,Domestic Work,Skilled,Male,25-34,Recruitment Agency,2,Low,0.027,0.032,0,0,1,601,12
Gandaki,Oman,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.091,0.114,0,0,7,999,24
Sudurpashchim,Saudi Arabia,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,10,High,0.225,0.239,0,0,2,893,12
Madhesh,Japan,Hospitality,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.057,0.173,0,0,7,448,24
Sudurpashchim,Oman,Hospitality,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.036,0.072,0,0,8,737,12
Karnali,Qatar,Construction,Skilled,Male,25-34,Recruitment Agency,8,High,0.254,0.202,0,1,3,684,12
Madhesh,UK,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,9,High,0.207,0.245,0,0,4,467,12
Province 1,South Korea,Driving,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.092,0.109,0,0,5,786,24
Lumbini,Qatar,Domestic Work,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.146,0.181,0,0,4,336,12
Province 1,UAE,Cleaning,Unskilled,Female,25-34,Recruitment Agency,5,Medium,0.126,0.179,0,0,9,999,24
Bagmati,South Korea,Cleaning,Unskilled,Male,45+,Recruitment Agency,2,Low,0.033,0.03,0,0,9,359,12
Province 1,Saudi Arabia,Hospitality,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.104,0.156,0,0,5,1351,24
Karnali,Saudi Arabia,Driving,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.109,0.114,0,0,4,1461,24
Madhesh,Qatar,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,10,High,0.166,0.303,0,1,1,1208,12
Gandaki,UK,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.124,0.143,0,1,1,1343,24
Madhesh,Kuwait,Construction,Unskilled,Female,35-44,Recruitment Agency,10,High,0.24,0.321,0,0,2,1453,12
Madhesh,Qatar,Cleaning,Unskilled,Male,35-44,Recruitment Agency,9,High,0.227,0.338,0,0,5,598,36
Lumbini,UAE,Construction,Skilled,Male,25-34,Recruitment Agency,7,High,0.286,0.229,0,1,7,444,24
Bagmati,Qatar,Driving,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.149,0.163,0,0,9,322,24
Province 1,UAE,Domestic Work,Semi-skilled,Female,25-34,Recruitment Agency,10,High,0.214,0.31,0,0,6,1419,12
Madhesh,Kuwait,Construction,Unskilled,Male,35-44,Recruitment Agency,10,High,0.278,0.201,0,0,9,319,12
Madhesh,Qatar,Driving,Unskilled,Male,25-34,Recruitment Agency,8,High,0.198,0.263,1,0,3,1153,12
Province 1,Saudi Arabia,Construction,Unskilled,Male,25-34,Recruitment Agency,9,High,0.159,0.339,0,0,8,1169,12
Gandaki,Kuwait,Hospitality,Semi-skilled,Male,25-34,Recruitment Agency,3,Low,0.036,0.043,0,0,7,1125,12
Bagmati,Qatar,Cleaning,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.1,0.131,0,1,1,1212,24
Karnali,UAE,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.22,0.333,0,0,1,1254,36
Madhesh,Bahrain,Driving,Skilled,Male,25-34,Individual,3,Low,0.029,0.032,0,0,9,1411,12
Madhesh,Oman,Hospitality,Skilled,Male,25-34,Recruitment Agency,1,Low,0.044,0.038,0,1,4,1004,12
Karnali,Oman,Driving,Skilled,Male,25-34,Individual,2,Low,0.046,0.041,0,0,7,382,12
Lumbini,Saudi Arabia,Healthcare,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.075,0.181,0,0,9,312,12
Bagmati,Malaysia,Construction,Semi-skilled,Male,25-34,Individual,9,High,0.279,0.305,0,0,8,447,24
Lumbini,UAE,Driving,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.128,0.139,0,0,4,988,24
Province 1,South Korea,Manufacturing,Skilled,Male,25-34,Recruitment Agency,3,Low,0.029,0.036,0,0,9,1157,12
Karnali,Japan,Healthcare,Semi-skilled,Male,25-34,Individual,4,Medium,0.074,0.192,1,0,5,661,24
Gandaki,Qatar,Construction,Semi-skilled,Male,18-24,Recruitment Agency,10,High,0.219,0.245,0,0,9,710,12
Gandaki,Qatar,Construction,Unskilled,Male,25-34,Recruitment Agency,9,High,0.275,0.207,1,1,7,1377,12
Sudurpashchim,Bahrain,Domestic Work,Skilled,Male,35-44,Recruitment Agency,3,Low,0.027,0.063,0,0,8,631,24
Province 1,Bahrain,Domestic Work,Skilled,Male,35-44,Recruitment Agency,2,Low,0.015,0.052,0,0,1,868,12
Bagmati,UAE,Healthcare,Skilled,Male,35-44,Recruitment Agency,3,Low,0.016,0.049,0,0,3,1102,12
Sudurpashchim,Malaysia,Domestic Work,Skilled,Male,25-34,Recruitment Agency,6,Medium,0.101,0.108,0,0,2,491,12
Bagmati,Oman,Hospitality,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.026,0.058,0,0,6,1159,12
Lumbini,Saudi Arabia,Manufacturing,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.146,0.165,0,0,4,629,12
Bagmati,UAE,Construction,Unskilled,Male,35-44,Recruitment Agency,10,High,0.167,0.314,0,1,5,570,36
Madhesh,Saudi Arabia,Healthcare,Unskilled,Male,25-34,Recruitment Agency,8,High,0.287,0.244,0,0,7,1346,12
Karnali,Oman,Construction,Skilled,Male,25-34,Regularisation,5,Medium,0.06,0.101,0,0,6,372,12
Province 1,Japan,Domestic Work,Semi-skilled,Male,25-34,Recruitment Agency,6,Medium,0.055,0.154,0,0,9,1210,36
Karnali,Bahrain,Hospitality,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.056,0.148,0,0,2,694,12
Karnali,Qatar,Hospitality,Skilled,Female,18-24,Recruitment Agency,4,Medium,0.094,0.126,1,0,6,1104,12
Madhesh,Malaysia,Driving,Unskilled,Male,18-24,Recruitment Agency,7,High,0.295,0.296,0,0,1,876,24
Karnali,South Korea,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,7,High,0.181,0.276,0,0,5,1201,12
Province 1,Qatar,Domestic Work,Skilled,Male,18-24,Recruitment Agency,7,High,0.205,0.296,0,0,4,733,24
Province 1,UAE,Hospitality,Unskilled,Male,25-34,Individual,6,Medium,0.103,0.13,0,1,2,1388,12
Province 1,Oman,Hospitality,Unskilled,Male,35-44,Recruitment Agency,2,Low,0.018,0.069,0,0,9,536,12
Lumbini,Kuwait,Domestic Work,Skilled,Female,25-34,Recruitment Agency,8,High,0.294,0.221,0,0,3,416,24
Bagmati,Kuwait,Driving,Unskilled,Male,45+,Recruitment Agency,4,Medium,0.067,0.176,0,0,8,967,12
Gandaki,Kuwait,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,7,High,0.278,0.277,0,0,9,636,12
Bagmati,Malaysia,Cleaning,Semi-skilled,Male,35-44,Recruitment Agency,3,Low,0.03,0.067,0,0,1,1065,12
Sudurpashchim,Kuwait,Manufacturing,Skilled,Male,18-24,Recruitment Agency,5,Medium,0.119,0.125,0,0,5,534,12
Gandaki,Saudi Arabia,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,10,High,0.214,0.267,0,0,4,1390,12
Gandaki,UK,Healthcare,Skilled,Male,25-34,Recruitment Agency,0,Low,0.016,0.053,0,0,7,428,12
Lumbini,UK,Healthcare,Skilled,Male,25-34,Recruitment Agency,1,Low,0.018,0.034,0,0,2,716,12
Bagmati,Bahrain,Cleaning,Skilled,Male,25-34,Recruitment Agency,0,Low,0.015,0.052,0,0,7,750,12
Lumbini,Oman,Manufacturing,Professional,Male,25-34,Recruitment Agency,1,Low,0.047,0.042,0,0,6,1096,12
Sudurpashchim,South Korea,Driving,Skilled,Male,18-24,Individual,1,Low,0.032,0.02,0,0,1,1293,12
Lumbini,Japan,Manufacturing,Skilled,Female,25-34,Recruitment Agency,3,Low,0.026,0.04,0,0,5,1436,12
Sudurpashchim,Malaysia,Hospitality,Skilled,Male,25-34,Recruitment Agency,2,Low,0.042,0.034,0,0,8,827,36
Sudurpashchim,Japan,Healthcare,Skilled,Male,35-44,Individual,2,Low,0.021,0.034,0,0,3,827,24
Karnali,Saudi Arabia,Domestic Work,Semi-skilled,Male,25-34,Recruitment Agency,9,High,0.214,0.241,1,0,5,466,12
Madhesh,Kuwait,Construction,Unskilled,Male,18-24,Individual,10,High,0.239,0.348,0,1,4,686,12
Madhesh,UK,Hospitality,Skilled,Male,25-34,Recruitment Agency,1,Low,0.028,0.031,0,0,3,1360,12
Province 1,Bahrain,Cleaning,Skilled,Female,25-34,Recruitment Agency,0,Low,0.043,0.022,0,0,4,774,36
Bagmati,Malaysia,Construction,Skilled,Male,25-34,Recruitment Agency,5,Medium,0.118,0.171,0,0,1,503,12
Sudurpashchim,Kuwait,Manufacturing,Skilled,Female,18-24,Regularisation,4,Medium,0.149,0.121,0,0,2,989,12
Province 1,UAE,Cleaning,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.084,0.121,0,0,4,840,12
Province 1,Kuwait,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.059,0.173,0,1,2,1245,12
Bagmati,Malaysia,Cleaning,Semi-skilled,Male,35-44,Recruitment Agency,5,Medium,0.134,0.188,1,0,9,852,12
Lumbini,Oman,Construction,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.119,0.178,0,0,1,559,12
Sudurpashchim,South Korea,Manufacturing,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.128,0.15,0,0,5,632,24
Lumbini,Japan,Manufacturing,Skilled,Male,18-24,Individual,2,Low,0.04,0.078,0,0,3,1338,12
Lumbini,Bahrain,Domestic Work,Skilled,Male,35-44,Recruitment Agency,3,Low,0.039,0.054,0,0,1,1046,12
Madhesh,Malaysia,Construction,Unskilled,Female,25-34,Recruitment Agency,10,High,0.155,0.284,0,1,3,906,24
Lumbini,Bahrain,Hospitality,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.145,0.122,0,0,3,1345,12
Madhesh,Japan,Driving,Unskilled,Male,18-24,Recruitment Agency,6,Medium,0.096,0.181,0,0,6,901,12
Gandaki,Japan,Driving,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.042,0.079,0,1,1,719,12
Province 1,Malaysia,Construction,Skilled,Male,35-44,Recruitment Agency,6,Medium,0.125,0.126,0,0,8,1110,24
Province 1,Bahrain,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.165,0.308,0,0,3,766,24
Karnali,Saudi Arabia,Cleaning,Unskilled,Male,25-34,Recruitment Agency,7,High,0.246,0.243,0,0,5,1068,12
Lumbini,Qatar,Hospitality,Semi-skilled,Female,18-24,Recruitment Agency,4,Medium,0.05,0.194,0,1,8,1264,36
Lumbini,Kuwait,Cleaning,Professional,Male,25-34,Individual,2,Low,0.02,0.021,0,0,8,330,12
Gandaki,UAE,Construction,Skilled,Male,25-34,Recruitment Agency,8,High,0.203,0.257,0,0,3,566,12
Province 1,Malaysia,Construction,Unskilled,Male,18-24,Recruitment Agency,10,High,0.181,0.331,0,0,1,681,24
Karnali,Saudi Arabia,Domestic Work,Skilled,Male,35-44,Individual,9,High,0.276,0.234,0,1,9,570,24
Bagmati,Kuwait,Domestic Work,Semi-skilled,Male,25-34,Individual,6,Medium,0.138,0.141,0,0,2,445,36
Province 1,Bahrain,Domestic Work,Skilled,Male,35-44,Individual,2,Low,0.023,0.057,0,0,9,543,12
Madhesh,UK,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.273,0.232,0,1,9,1058,12
Lumbini,Oman,Manufacturing,Skilled,Male,25-34,Recruitment Agency,1,Low,0.026,0.045,0,0,1,542,12
Province 1,Bahrain,Healthcare,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.039,0.046,0,0,4,695,36
Karnali,Malaysia,Healthcare,Skilled,Male,18-24,Recruitment Agency,3,Low,0.014,0.058,0,0,8,1201,12
Bagmati,Oman,Healthcare,Unskilled,Male,18-24,Recruitment Agency,3,Low,0.036,0.033,0,0,7,975,12
Madhesh,Japan,Driving,Skilled,Male,25-34,Recruitment Agency,2,Low,0.045,0.08,0,0,7,1135,24
Gandaki,Kuwait,Healthcare,Unskilled,Male,18-24,Recruitment Agency,5,Medium,0.144,0.123,1,1,7,860,36
Lumbini,South Korea,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.071,0.169,0,0,3,360,24
Lumbini,South Korea,Driving,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.032,0.078,0,0,9,969,12
Bagmati,Qatar,Domestic Work,Unskilled,Male,18-24,Recruitment Agency,8,High,0.164,0.301,0,0,6,427,24
Madhesh,Oman,Healthcare,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.1,0.184,0,0,5,1151,12
Sudurpashchim,Oman,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.129,0.187,0,0,7,748,12
Madhesh,UK,Healthcare,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.121,0.103,0,0,1,1459,12
Province 1,Oman,Hospitality,Skilled,Male,18-24,Individual,0,Low,0.026,0.076,0,0,4,1061,12
Bagmati,UAE,Construction,Skilled,Male,35-44,Recruitment Agency,8,High,0.192,0.283,0,0,1,591,24
Gandaki,Saudi Arabia,Construction,Unskilled,Male,25-34,Regularisation,10,High,0.279,0.266,0,0,4,373,12
Karnali,Qatar,Hospitality,Skilled,Female,35-44,Recruitment Agency,5,Medium,0.089,0.195,0,0,5,1117,12
Karnali,UK,Construction,Unskilled,Male,18-24,Recruitment Agency,9,High,0.26,0.236,0,0,7,404,12
Sudurpashchim,UK,Construction,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.107,0.156,0,0,9,392,12
Madhesh,UK,Cleaning,Skilled,Male,18-24,Recruitment Agency,2,Low,0.032,0.063,0,0,3,1320,12
Bagmati,Japan,Manufacturing,Unskilled,Male,45+,Recruitment Agency,5,Medium,0.09,0.178,0,0,7,353,12
Bagmati,Saudi Arabia,Cleaning,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.07,0.124,0,0,5,771,12
Sudurpashchim,South Korea,Manufacturing,Unskilled,Female,25-34,Recruitment Agency,5,Medium,0.102,0.12,1,0,2,1052,12
Lumbini,Japan,Manufacturing,Skilled,Male,25-34,Recruitment Agency,1,Low,0.047,0.043,0,0,2,565,24
Sudurpashchim,Japan,Cleaning,Skilled,Male,25-34,Recruitment Agency,1,Low,0.033,0.039,0,0,7,664,24
Province 1,UK,Manufacturing,Semi-skilled,Female,25-34,Recruitment Agency,5,Medium,0.109,0.153,0,0,5,358,36
Karnali,Malaysia,Driving,Unskilled,Male,25-34,Recruitment Agency,7,High,0.249,0.31,0,0,3,1102,24
Gandaki,UAE,Domestic Work,Skilled,Male,18-24,Recruitment Agency,6,Medium,0.06,0.118,0,0,3,746,12
Gandaki,Malaysia,Cleaning,Skilled,Male,18-24,Recruitment Agency,2,Low,0.043,0.05,0,0,8,394,12
Lumbini,Qatar,Domestic Work,Unskilled,Female,35-44,Recruitment Agency,10,High,0.199,0.288,1,1,5,975,12
Lumbini,Kuwait,Cleaning,Skilled,Male,35-44,Recruitment Agency,1,Low,0.036,0.022,0,0,5,1271,12
Karnali,Oman,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,8,High,0.242,0.348,0,0,3,610,12
Madhesh,Malaysia,Healthcare,Unskilled,Male,35-44,Recruitment Agency,6,Medium,0.094,0.107,0,0,7,873,12
Lumbini,Kuwait,Cleaning,Semi-skilled,Male,25-34,Recruitment Agency,5,Medium,0.084,0.161,0,1,5,716,24
Sudurpashchim,Oman,Hospitality,Skilled,Male,35-44,Recruitment Agency,0,Low,0.043,0.023,0,0,9,480,12
Bagmati,South Korea,Construction,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.113,0.17,0,0,3,607,24
Province 1,UAE,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,9,High,0.184,0.286,1,0,1,1033,12
Karnali,South Korea,Hospitality,Unskilled,Male,18-24,Individual,5,Medium,0.147,0.175,0,0,8,603,36
Lumbini,Oman,Domestic Work,Skilled,Male,18-24,Recruitment Agency,3,Low,0.028,0.033,0,0,1,1054,36
Bagmati,Bahrain,Manufacturing,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.126,0.115,0,1,4,979,12
Lumbini,Qatar,Cleaning,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.136,0.196,1,0,5,856,24
Province 1,UK,Cleaning,Semi-skilled,Male,35-44,Recruitment Agency,2,Low,0.044,0.027,0,0,7,1464,36
Sudurpashchim,South Korea,Domestic Work,Unskilled,Female,25-34,Recruitment Agency,8,High,0.294,0.335,0,1,7,454,24
Bagmati,Oman,Healthcare,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.046,0.063,0,0,6,1112,12
Province 1,Japan,Healthcare,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.014,0.051,0,0,8,1056,36
Bagmati,Qatar,Hospitality,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.067,0.132,0,0,6,1224,12
Gandaki,Oman,Cleaning,Skilled,Male,25-34,Recruitment Agency,1,Low,0.039,0.061,0,0,4,624,12
Gandaki,Bahrain,Cleaning,Skilled,Male,35-44,Recruitment Agency,0,Low,0.011,0.047,0,0,5,1244,12
Lumbini,South Korea,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,5,Medium,0.097,0.188,0,0,7,849,24
Sudurpashchim,Bahrain,Hospitality,Unskilled,Female,25-34,Recruitment Agency,3,Low,0.014,0.059,0,0,4,326,12
Province 1,Kuwait,Hospitality,Skilled,Male,25-34,Recruitment Agency,3,Low,0.022,0.025,0,0,9,1289,12
Madhesh,Saudi Arabia,Domestic Work,Unskilled,Male,25-34,Recruitment Agency,10,High,0.249,0.244,0,1,1,362,12
Madhesh,South Korea,Construction,Unskilled,Male,25-34,Recruitment Agency,10,High,0.172,0.311,1,0,1,1388,24
Madhesh,Kuwait,Healthcare,Skilled,Male,25-34,Recruitment Agency,3,Low,0.026,0.061,0,0,5,940,12
Bagmati,Japan,Driving,Skilled,Male,35-44,Recruitment Agency,1,Low,0.036,0.026,0,0,2,395,12
Gandaki,UK,Healthcare,Unskilled,Male,25-34,Recruitment Agency,3,Low,0.019,0.022,0,0,8,1424,12
Province 1,South Korea,Construction,Unskilled,Male,25-34,Recruitment Agency,8,High,0.238,0.261,0,0,2,461,12
Gandaki,Malaysia,Healthcare,Unskilled,Female,18-24,Recruitment Agency,5,Medium,0.093,0.141,0,0,6,1082,24
Madhesh,Saudi Arabia,Hospitality,Unskilled,Male,25-34,Recruitment Agency,9,High,0.182,0.209,0,0,5,898,12
Lumbini,Qatar,Driving,Skilled,Male,18-24,Recruitment Agency,3,Low,0.013,0.033,0,0,6,1413,36
Gandaki,Japan,Hospitality,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.043,0.039,0,0,6,1033,12
Lumbini,UAE,Hospitality,Unskilled,Male,18-24,Individual,5,Medium,0.124,0.185,0,0,4,1148,24
Madhesh,Qatar,Driving,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.117,0.121,0,0,8,747,36
Province 1,Bahrain,Driving,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.034,0.056,0,0,9,1231,12
Bagmati,South Korea,Healthcare,Skilled,Male,25-34,Recruitment Agency,0,Low,0.041,0.07,0,0,6,858,12
Karnali,South Korea,Hospitality,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.053,0.126,0,0,6,823,12
Karnali,Kuwait,Domestic Work,Unskilled,Male,35-44,Recruitment Agency,10,High,0.201,0.221,0,0,8,1090,12
Bagmati,Kuwait,Manufacturing,Skilled,Male,25-34,Recruitment Agency,3,Low,0.03,0.058,1,0,2,357,12
Bagmati,Japan,Driving,Unskilled,Female,25-34,Recruitment Agency,3,Low,0.04,0.037,0,0,7,891,12
Karnali,Qatar,Construction,Skilled,Male,18-24,Regularisation,10,High,0.237,0.251,1,1,6,1105,12
Bagmati,Oman,Construction,Semi-skilled,Male,25-34,Recruitment Agency,7,High,0.151,0.317,0,0,5,1492,12
Madhesh,Malaysia,Driving,Unskilled,Male,45+,Recruitment Agency,7,High,0.178,0.277,1,0,7,387,12
Karnali,Japan,Healthcare,Unskilled,Male,35-44,Recruitment Agency,5,Medium,0.112,0.151,0,1,5,1139,12
Lumbini,Bahrain,Domestic Work,Skilled,Male,25-34,Recruitment Agency,4,Medium,0.06,0.192,0,0,1,661,36
Province 1,UK,Driving,Unskilled,Male,25-34,Individual,3,Low,0.043,0.079,0,0,1,320,36
Province 1,UAE,Cleaning,Unskilled,Male,25-34,Recruitment Agency,6,Medium,0.111,0.163,0,0,2,739,24
Madhesh,Japan,Driving,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.123,0.111,0,0,1,1061,12
Karnali,South Korea,Healthcare,Unskilled,Male,25-34,Recruitment Agency,4,Medium,0.073,0.117,0,1,8,845,24
Gandaki,South Korea,Manufacturing,Unskilled,Male,35-44,Recruitment Agency,4,Medium,0.136,0.178,0,0,7,1165,12
Lumbini,Malaysia,Domestic Work,Skilled,Male,18-24,Recruitment Agency,5,Medium,0.084,0.178,0,0,9,424,24
Province 1,Bahrain,Driving,Unskilled,Male,25-34,Recruitment Agency,2,Low,0.034,0.044,0,0,7,472,24
